,judul,link
0,Vengeance,/title/tt11976532/?ref_=adv_li_tt
1,Beast,/title/tt13223398/?ref_=adv_li_tt
2,Samaritan,/title/tt5500218/?ref_=adv_li_tt
3,The Gray Man,/title/tt1649418/?ref_=adv_li_tt
4,Orphan: First Kill,/title/tt11851548/?ref_=adv_li_tt
5,Moonfall,/title/tt5834426/?ref_=adv_li_tt
6,I Wanna Dance with Somebody,/title/tt12193804/?ref_=adv_li_tt
7,Meet Cute,/title/tt14900738/?ref_=adv_li_tt
8,The Northman,/title/tt11138512/?ref_=adv_li_tt
9,Spider-Man: No Way Home,/title/tt10872600/?ref_=adv_li_tt
10,Morbius,/title/tt5108870/?ref_=adv_li_tt
11,Sous Emprise,/title/tt14995258/?ref_=adv_li_tt
12,La scuola cattolica,/title/tt10345782/?ref_=adv_li_tt
13,End of the Road,/title/tt13655328/?ref_=adv_li_tt
14,Dune: Part One,/title/tt1160419/?ref_=adv_li_tt
15,Clerks III,/title/tt11128440/?ref_=adv_li_tt
16,Halloween Ends,/title/tt10665342/?ref_=adv_li_tt
17,Licorice Pizza,/title/tt11271038/?ref_=adv_li_tt
18,DC League of Super-Pets,/title/tt8912936/?ref_=adv_li_tt
19,Brahmastra Part One: Shiva,/title/tt6277462/?ref_=adv_li_tt
20,Bandit,/title/tt9853500/?ref_=adv_li_tt
21,Mr. Harrigan's Phone,/title/tt12908110/?ref_=adv_li_tt
22,Dog,/title/tt11252248/?ref_=adv_li_tt
23,Doctor Strange in the Multiverse of Madness,/title/tt9419884/?ref_=adv_li_tt
24,Uncharted,/title/tt1464335/?ref_=adv_li_tt
25,The Banshees of Inisherin,/title/tt11813216/?ref_=adv_li_tt
26,Mona Lisa and the Blood Moon,/title/tt8760670/?ref_=adv_li_tt
27,The Little Things,/title/tt10016180/?ref_=adv_li_tt
28,Thirteen Lives,/title/tt12262116/?ref_=adv_li_tt
29,Me Time,/title/tt14309446/?ref_=adv_li_tt
30,"Bardo, False Chronicle of a Handful of Truths",/title/tt14176542/?ref_=adv_li_tt
31,Day Shift,/title/tt13314558/?ref_=adv_li_tt
32,Strange World,/title/tt10298840/?ref_=adv_li_tt
33,The Outfit,/title/tt14114802/?ref_=adv_li_tt
34,Scream,/title/tt11245972/?ref_=adv_li_tt
35,RRR (Rise Roar Revolt),/title/tt8178634/?ref_=adv_li_tt
36,The Lost City,/title/tt13320622/?ref_=adv_li_tt
37,Sing 2,/title/tt6467266/?ref_=adv_li_tt
38,892,/title/tt12311620/?ref_=adv_li_tt
39,Minions: The Rise of Gru,/title/tt5113044/?ref_=adv_li_tt
40,Chup,/title/tt15654262/?ref_=adv_li_tt
41,The Greatest Beer Run Ever,/title/tt10268488/?ref_=adv_li_tt
42,No Time to Die,/title/tt2382320/?ref_=adv_li_tt
43,Death on the Nile,/title/tt7657566/?ref_=adv_li_tt
44,Triangle of Sadness,/title/tt7322224/?ref_=adv_li_tt
45,The Matrix Resurrections,/title/tt10838180/?ref_=adv_li_tt
46,Athena,/title/tt15445056/?ref_=adv_li_tt
47,Medieval,/title/tt8883486/?ref_=adv_li_tt
48,House of Gucci,/title/tt11214590/?ref_=adv_li_tt
49,Last Night in Soho,/title/tt9639470/?ref_=adv_li_tt
